market_date,mean_sentiment,tweet_count,GLD,SPY,USO,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-01-03,-0.0266632580508788,16,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,1.0,1.0,-1.0,-1.0
2020-02-03,0.061692971181834,23,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2020-02-04,-0.330225210496655,34,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0
2020-02-05,-0.0759239526731627,7,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
2020-03-02,-0.1027138703287794,31,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-03-03,-0.4179683998227119,36,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
2020-03-04,0.0723162261613954,27,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-03-05,0.0559524819254875,1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-04-01,-0.0690646381117403,8,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-04-02,-0.0340156717935488,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-04-03,-0.1033106712705415,24,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2020-05-01,-0.1170902381334721,52,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-05-04,-0.3816562536216917,45,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0
2020-05-05,-0.2208288793141642,28,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2020-05-06,-0.156487856603538,24,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0
2020-05-07,-0.0874907051158302,34,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0
2020-05-08,0.0353384665636853,22,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-05-11,-0.3216111056506633,35,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0
2020-05-12,-0.1179881745151111,21,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-05-13,-0.2189174990423701,11,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-05-14,-0.1133911432180967,36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,1.0,1.0
2020-05-15,-0.0794146226620987,19,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
2020-05-18,-0.2792693911628289,22,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-05-19,-0.2678122800939223,17,1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-05-20,-0.352618684095365,27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
2020-05-21,-0.0945284007566756,29,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0
2020-05-22,-0.5087991557084024,16,1.0,0.0,-1.0,0.0,1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
2020-05-26,-0.2624265335757157,29,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
2020-05-27,-0.2484867290148268,23,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-05-28,-0.2581180165888685,33,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0,1.0,-1.0
2020-05-29,-0.137633302869896,18,1.0,1.0,1.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,1.0
2020-06-01,-0.1776273669857604,55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0
2020-06-02,-0.329468053074885,83,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-06-03,-0.2522613588928968,50,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
2020-06-04,-0.3228667725046512,68,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-06-05,-0.4488925001456995,47,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-06-08,-0.2900926497732771,29,1.0,1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-06-09,-0.1263422589039518,21,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-06-10,-0.2661701582924083,27,1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0
2020-06-11,-0.2192063605678933,28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-06-12,-0.3918119577070077,30,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0
2020-06-15,-0.1045803371326703,38,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-06-16,-0.2011463200165466,22,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-06-17,-0.2202462509158067,32,0.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,-1.0
2020-06-18,-0.1956008297598196,36,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,-1.0
2020-06-19,-0.2302078868227976,27,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0
2020-06-22,-0.0348674872959101,54,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0
2020-06-23,-0.3424904023413546,32,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,1.0
2020-06-24,-0.0669566180246571,36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-06-25,-0.1250957947534819,48,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0
2020-06-26,-0.0089073405704564,18,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2020-06-29,-0.1137633753630022,24,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-06-30,-0.2853680434636771,8,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-07-01,-0.1948609978482486,41,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0
2020-07-02,-0.1976956437472227,67,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0
2020-07-06,-0.2756336819490089,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,1.0
2020-07-07,-0.359015265543913,29,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0
2020-07-08,-0.0806177651607676,38,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,1.0
2020-07-09,-0.1557662947103381,40,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0
